No.Topic,Coherence Score
2,0.3066813731506445
3,0.4157080530712321
4,0.4352331441443574
5,0.43501232290369274
6,0.4487013198190665
7,0.4538004600125052
8,0.46278004863800865
9,0.47410870862615145
10,0.4789417397656563
11,0.4532489298302
12,0.44746440248954816
13,0.4488105618975987
14,0.44697308028216787
15,0.4515060281145406
16,0.44151179731580886
17,0.4527107020889792
18,0.4602810663416681
